image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,pieces_affected,crash
n02096051/n02096051_2751.JPEG,transient-SEFI-blk,weights,1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.69339,191,"Airedale, Airedale terrier",0.739289,189,Lakeland terrier,0.21181,193,Australian terrier,0.0173864,1,-0.045899,4096,16481,piece_14_layer4_0,0
n02096051/n02096051_2946.JPEG,transient-SEFI-blk,weights,1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.948567,191,"Airedale, Airedale terrier",0.948567,189,Lakeland terrier,0.0286442,188,wire-haired fox terrier,0.0135306,1,0,4096,16522,piece_09_layer3_1,0
n02096051/n02096051_495.JPEG,transient-SEFI-blk,weights,1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.985222,191,"Airedale, Airedale terrier",0.989579,189,Lakeland terrier,0.00519283,184,Irish terrier,0.00191034,1,-0.00435758,4096,16377,piece_15_layer4_1,0
n02096051/n02096051_5436.JPEG,transient-SEFI-blk,weights,1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.93177,191,"Airedale, Airedale terrier",0.93177,189,Lakeland terrier,0.0219131,184,Irish terrier,0.0219131,1,0,4096,16521,piece_05_layer2_1,0
n02096051/n02096051_668.JPEG,transient-SEFI-blk,weights,1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.936746,191,"Airedale, Airedale terrier",0.949623,189,Lakeland terrier,0.047279,234,Rottweiler,0.000674398,1,-0.0128773,4096,16440,piece_16_layer4_2,0
n02113186/n02113186_12291.JPEG,transient-SEFI-blk,weights,1,264,"Cardigan, Cardigan Welsh corgi",158,toy terrier,0.34567,158,toy terrier,0.402387,253,basenji,0.24406,173,"Ibizan hound, Ibizan Podenco",0.115286,0,-0.0567164,4096,16448,piece_11_layer3_3,0
n02113186/n02113186_13231.JPEG,transient-SEFI-blk,weights,1,264,"Cardigan, Cardigan Welsh corgi",282,tiger cat,0.399781,288,"leopard, Panthera pardus",0.456514,289,"snow leopard, ounce, Panthera uncia",0.27689,282,tiger cat,0.167942,0,-0.0567331,4096,16592,piece_16_layer4_2,0
n02113186/n02113186_50.JPEG,transient-SEFI-blk,weights,1,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.757816,263,"Pembroke, Pembroke Welsh corgi",0.756239,264,"Cardigan, Cardigan Welsh corgi",0.216666,227,kelpie,0.00840105,0,0.00157702,4096,16327,piece_15_layer4_1,0
n02113186/n02113186_5538.JPEG,transient-SEFI-blk,weights,1,264,"Cardigan, Cardigan Welsh corgi",162,beagle,0.454008,263,"Pembroke, Pembroke Welsh corgi",0.444417,162,beagle,0.346112,264,"Cardigan, Cardigan Welsh corgi",0.077228,0,0.00959095,4096,16558,piece_11_layer3_3,0
n02113186/n02113186_9772.JPEG,transient-SEFI-blk,weights,1,264,"Cardigan, Cardigan Welsh corgi",253,basenji,0.600946,253,basenji,0.605916,264,"Cardigan, Cardigan Welsh corgi",0.286214,195,"Boston bull, Boston terrier",0.0638631,0,-0.0049696,4096,16487,piece_15_layer4_1,0
n02114855/n02114855_1044.JPEG,transient-SEFI-blk,weights,1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.908873,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.90365,274,"dhole, Cuon alpinus",0.0272879,271,"red wolf, maned wolf, Canis rufus, Canis niger",0.0165509,1,0.00522363,4096,16589,piece_08_layer3_0,0
n02114855/n02114855_1047.JPEG,transient-SEFI-blk,weights,1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.494958,568,fur coat,0.325639,324,cabbage butterfly,0.119796,322,"ringlet, ringlet butterfly",0.0932973,0,0.169318,4096,16467,piece_10_layer3_2,0
n02114855/n02114855_18848.JPEG,transient-SEFI-blk,weights,1,272,"coyote, prairie wolf, brush wolf, Canis latrans",293,"cheetah, chetah, Acinonyx jubatus",0.272674,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.236462,293,"cheetah, chetah, Acinonyx jubatus",0.184157,276,"hyena, hyaena",0.0677476,1,0.0362115,4096,16436,piece_10_layer3_2,0
n02114855/n02114855_7204.JPEG,transient-SEFI-blk,weights,1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.204796,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.204796,397,"puffer, pufferfish, blowfish, globefish",0.124215,280,"grey fox, gray fox, Urocyon cinereoargenteus",0.0967389,1,0,4096,16381,piece_05_layer2_1,0
n02114855/n02114855_7265.JPEG,transient-SEFI-blk,weights,1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.342072,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.365133,269,"timber wolf, grey wolf, gray wolf, Canis lupus",0.221464,104,"wallaby, brush kangaroo",0.0634505,1,-0.0230605,4096,16396,piece_15_layer4_1,0
n02134418/n02134418_11090.JPEG,transient-SEFI-blk,weights,1,297,"sloth bear, Melursus ursinus, Ursus ursinus",295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.483502,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.497613,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.301818,223,schipperke,0.052448,0,-0.0141107,4096,16494,piece_15_layer4_1,0
n02134418/n02134418_2895.JPEG,transient-SEFI-blk,weights,1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.936363,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.936391,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.0598615,294,"brown bear, bruin, Ursus arctos",0.00232108,1,-2.72393e-05,4096,16568,piece_14_layer4_0,0
n02134418/n02134418_3846.JPEG,transient-SEFI-blk,weights,1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.938271,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.95026,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.0473107,294,"brown bear, bruin, Ursus arctos",0.000866525,1,-0.011989,4096,16520,piece_16_layer4_2,0
n02134418/n02134418_4725.JPEG,transient-SEFI-blk,weights,1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.94051,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.920721,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.0588597,366,"gorilla, Gorilla gorilla",0.0131334,1,0.0197889,4096,16496,piece_14_layer4_0,0
n02134418/n02134418_5777.JPEG,transient-SEFI-blk,weights,1,297,"sloth bear, Melursus ursinus, Ursus ursinus",562,fountain,0.271212,580,"greenhouse, nursery, glasshouse",0.345033,562,fountain,0.12693,756,rain barrel,0.0988535,0,-0.0738203,4096,16574,piece_11_layer3_3,0
n02264363/n02264363_13680.JPEG,transient-SEFI-blk,weights,1,318,"lacewing, lacewing fly",971,bubble,0.969542,971,bubble,0.971526,815,"spider web, spider's web",0.00840535,758,reel,0.00840535,0,-0.00198472,4096,16344,piece_16_layer4_2,0
n02264363/n02264363_3092.JPEG,transient-SEFI-blk,weights,1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.875944,318,"lacewing, lacewing fly",0.836694,317,leafhopper,0.025266,311,"grasshopper, hopper",0.025266,1,0.0392493,4096,16551,piece_10_layer3_2,0
n02264363/n02264363_4632.JPEG,transient-SEFI-blk,weights,1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.991448,318,"lacewing, lacewing fly",0.904522,879,umbrella,0.0212723,325,"sulphur butterfly, sulfur butterfly",0.0212723,1,0.0869262,4096,16301,piece_06_layer2_2,0
n02264363/n02264363_5318.JPEG,transient-SEFI-blk,weights,1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999988,318,"lacewing, lacewing fly",0.999988,316,"cicada, cicala",4.78506e-06,317,leafhopper,2.2603e-06,1,0,4096,16402,piece_17_head,0
n02264363/n02264363_9846.JPEG,transient-SEFI-blk,weights,1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999997,318,"lacewing, lacewing fly",0.999995,312,cricket,6.47592e-07,311,"grasshopper, hopper",5.04345e-07,1,1.3113e-06,4096,16398,piece_11_layer3_3,0
n02699494/n02699494_12579.JPEG,transient-SEFI-blk,weights,1,406,altar,406,altar,0.745801,406,altar,0.772896,497,"church, church building",0.172457,884,vault,0.0233395,1,-0.0270951,4096,16379,piece_09_layer3_1,0
n02699494/n02699494_18171.JPEG,transient-SEFI-blk,weights,1,406,altar,406,altar,0.826181,406,altar,0.80911,857,throne,0.0517246,698,palace,0.0313726,1,0.0170709,4096,16586,piece_06_layer2_2,0
n02699494/n02699494_2349.JPEG,transient-SEFI-blk,weights,1,406,altar,406,altar,0.921344,406,altar,0.921291,497,"church, church building",0.0588961,884,vault,0.0102346,1,5.31673e-05,4096,16409,piece_14_layer4_0,0
n02699494/n02699494_4661.JPEG,transient-SEFI-blk,weights,1,406,altar,406,altar,0.968327,406,altar,0.96844,497,"church, church building",0.0292444,698,palace,0.000535629,1,-0.000113368,4096,16464,piece_14_layer4_0,0
n02699494/n02699494_4682.JPEG,transient-SEFI-blk,weights,1,406,altar,406,altar,0.86018,406,altar,0.859862,497,"church, church building",0.0906288,884,vault,0.04281,1,0.000317812,4096,16527,piece_15_layer4_1,0
n02704792/n02704792_13304.JPEG,transient-SEFI-blk,weights,1,408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.970834,408,"amphibian, amphibious vehicle",0.953734,814,speedboat,0.0224297,449,boathouse,0.00825142,1,0.0170994,4096,16439,piece_15_layer4_1,0
n02704792/n02704792_2135.JPEG,transient-SEFI-blk,weights,1,408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.73784,408,"amphibian, amphibious vehicle",0.740466,536,"dock, dockage, docking facility",0.212147,517,crane,0.00822584,1,-0.002626,4096,16557,piece_10_layer3_2,0
n02704792/n02704792_28593.JPEG,transient-SEFI-blk,weights,1,408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.997479,408,"amphibian, amphibious vehicle",0.997411,814,speedboat,0.00116785,609,"jeep, landrover",0.000708336,1,6.73532e-05,4096,16353,piece_08_layer3_0,0
n02704792/n02704792_4565.JPEG,transient-SEFI-blk,weights,1,408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.973177,408,"amphibian, amphibious vehicle",0.968242,814,speedboat,0.00837694,847,"tank, army tank, armored combat vehicle, armoured combat vehicle",0.00508087,1,0.00493532,4096,16399,piece_04_layer2_0,0
n02704792/n02704792_7641.JPEG,transient-SEFI-blk,weights,1,408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.680625,408,"amphibian, amphibious vehicle",0.732098,847,"tank, army tank, armored combat vehicle, armoured combat vehicle",0.163353,586,half track,0.0990787,1,-0.0514737,4096,16327,piece_15_layer4_1,0
n02794156/n02794156_202.JPEG,transient-SEFI-blk,weights,1,426,barometer,426,barometer,0.806262,426,barometer,0.808076,635,magnetic compass,0.109361,409,analog clock,0.0663309,1,-0.00181341,4096,16301,piece_16_layer4_2,0
n02794156/n02794156_3679.JPEG,transient-SEFI-blk,weights,1,426,barometer,651,"microwave, microwave oven",0.161887,651,"microwave, microwave oven",0.137182,897,"washer, automatic washer, washing machine",0.106838,742,printer,0.106838,0,0.0247046,4096,16450,piece_16_layer4_2,0
n02794156/n02794156_4688.JPEG,transient-SEFI-blk,weights,1,426,barometer,426,barometer,0.995155,426,barometer,0.996371,409,analog clock,0.00246976,635,magnetic compass,0.000707597,1,-0.00121582,4096,16413,piece_13_layer3_5,0
n02794156/n02794156_6604.JPEG,transient-SEFI-blk,weights,1,426,barometer,635,magnetic compass,0.727299,635,magnetic compass,0.772358,426,barometer,0.221284,778,"scale, weighing machine",0.00405296,0,-0.0450594,4096,16512,piece_14_layer4_0,0
n02794156/n02794156_7565.JPEG,transient-SEFI-blk,weights,1,426,barometer,426,barometer,0.519269,426,barometer,0.529531,892,wall clock,0.321177,635,magnetic compass,0.118154,1,-0.0102623,4096,16462,piece_02_layer1_1,0
n03124043/n03124043_5402.JPEG,transient-SEFI-blk,weights,1,514,cowboy boot,514,cowboy boot,0.999999,514,cowboy boot,0.999999,502,"clog, geta, patten, sabot",3.92786e-07,788,"shoe shop, shoe-shop, shoe store",1.44498e-07,1,-4.76837e-07,4096,16408,piece_10_layer3_2,0
n03124043/n03124043_5856.JPEG,transient-SEFI-blk,weights,1,514,cowboy boot,514,cowboy boot,0.99776,514,cowboy boot,0.994001,753,radiator,0.00316369,788,"shoe shop, shoe-shop, shoe store",0.00149442,1,0.0037595,4096,16411,piece_16_layer4_2,0
n03124043/n03124043_6328.JPEG,transient-SEFI-blk,weights,1,514,cowboy boot,502,"clog, geta, patten, sabot",0.647608,502,"clog, geta, patten, sabot",0.647608,630,Loafer,0.144501,806,sock,0.112537,0,0,4096,16478,piece_17_head,0
n03124043/n03124043_7091.JPEG,transient-SEFI-blk,weights,1,514,cowboy boot,514,cowboy boot,0.999999,514,cowboy boot,0.999999,546,electric guitar,5.04347e-07,51,triceratops,3.05902e-07,1,2.38419e-07,4096,16379,piece_14_layer4_0,0
n03124043/n03124043_7889.JPEG,transient-SEFI-blk,weights,1,514,cowboy boot,630,Loafer,0.814302,630,Loafer,0.827259,502,"clog, geta, patten, sabot",0.0528849,788,"shoe shop, shoe-shop, shoe store",0.0320763,0,-0.012957,4096,16412,piece_13_layer3_5,0
n03637318/n03637318_1066.JPEG,transient-SEFI-blk,weights,1,619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.405672,619,"lampshade, lamp shade",0.423778,846,table lamp,0.330039,470,"candle, taper, wax light",0.0945576,1,-0.0181057,4096,16523,piece_15_layer4_1,0
n03637318/n03637318_14251.JPEG,transient-SEFI-blk,weights,1,619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.25299,619,"lampshade, lamp shade",0.365297,673,"mouse, computer mouse",0.0815089,818,"spotlight, spot",0.0634792,1,-0.112307,4096,16433,piece_16_layer4_2,0
n03637318/n03637318_16044.JPEG,transient-SEFI-blk,weights,1,619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.850742,619,"lampshade, lamp shade",0.880078,846,table lamp,0.119106,818,"spotlight, spot",0.000486757,1,-0.0293359,4096,16448,piece_16_layer4_2,0
n03637318/n03637318_6645.JPEG,transient-SEFI-blk,weights,1,619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.646371,619,"lampshade, lamp shade",0.646371,607,jack-o'-lantern,0.0874768,762,"restaurant, eating house, eating place, eatery",0.0195187,1,0,4096,16545,piece_05_layer2_1,0
n03637318/n03637318_9369.JPEG,transient-SEFI-blk,weights,1,619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.371271,818,"spotlight, spot",0.411615,619,"lampshade, lamp shade",0.320566,417,balloon,0.0337875,0,-0.0403442,4096,16428,piece_16_layer4_2,0
n03874293/n03874293_11031.JPEG,transient-SEFI-blk,weights,1,694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.999956,694,"paddlewheel, paddle wheel",0.999946,595,"harvester, reaper",7.88889e-06,913,wreck,4.78486e-06,1,1.01328e-05,4096,16593,piece_11_layer3_3,0
n03874293/n03874293_14179.JPEG,transient-SEFI-blk,weights,1,694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.999922,694,"paddlewheel, paddle wheel",0.999887,595,"harvester, reaper",3.53535e-05,554,fireboat,1.30058e-05,1,3.44515e-05,4096,16394,piece_14_layer4_0,0
n03874293/n03874293_152.JPEG,transient-SEFI-blk,weights,1,694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.99918,694,"paddlewheel, paddle wheel",0.999323,821,steel arch bridge,0.000430451,718,pier,9.60466e-05,1,-0.000142872,4096,16513,piece_13_layer3_5,0
n03874293/n03874293_22199.JPEG,transient-SEFI-blk,weights,1,694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.993229,694,"paddlewheel, paddle wheel",0.991254,628,"liner, ocean liner",0.00315495,821,steel arch bridge,0.00149029,1,0.001975,4096,16528,piece_14_layer4_0,0
n03874293/n03874293_4256.JPEG,transient-SEFI-blk,weights,1,694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.999928,694,"paddlewheel, paddle wheel",0.999943,595,"harvester, reaper",4.53973e-05,856,"thresher, thrasher, threshing machine",2.2602e-06,1,-1.4782e-05,4096,16408,piece_15_layer4_1,0
n03933933/n03933933_21453.JPEG,transient-SEFI-blk,weights,1,718,pier,718,pier,0.877786,718,pier,0.877786,839,suspension bridge,0.118795,821,steel arch bridge,0.000800438,1,0,4096,16516,piece_09_layer3_1,0
n03933933/n03933933_24591.JPEG,transient-SEFI-blk,weights,1,718,pier,718,pier,0.465142,718,pier,0.516694,536,"dock, dockage, docking facility",0.190081,628,"liner, ocean liner",0.089788,1,-0.0515519,4096,16437,piece_14_layer4_0,0
n03933933/n03933933_31954.JPEG,transient-SEFI-blk,weights,1,718,pier,718,pier,0.8797,718,pier,0.903851,839,suspension bridge,0.0952652,821,steel arch bridge,0.000389327,1,-0.0241519,4096,16333,piece_15_layer4_1,0
n03933933/n03933933_4981.JPEG,transient-SEFI-blk,weights,1,718,pier,821,steel arch bridge,0.511467,821,steel arch bridge,0.495052,718,pier,0.300264,628,"liner, ocean liner",0.0521781,0,0.0164158,4096,16549,piece_15_layer4_1,0
n03933933/n03933933_90.JPEG,transient-SEFI-blk,weights,1,718,pier,821,steel arch bridge,0.938771,821,steel arch bridge,0.969972,718,pier,0.0292906,839,suspension bridge,0.000417808,0,-0.0312012,4096,16577,piece_11_layer3_3,0
n04311004/n04311004_1647.JPEG,transient-SEFI-blk,weights,1,821,steel arch bridge,821,steel arch bridge,0.98928,821,steel arch bridge,0.983241,718,pier,0.0140252,839,suspension bridge,0.00243721,1,0.00603849,4096,16378,piece_15_layer4_1,0
n04311004/n04311004_2766.JPEG,transient-SEFI-blk,weights,1,821,steel arch bridge,821,steel arch bridge,0.986531,821,steel arch bridge,0.986142,718,pier,0.0109551,839,suspension bridge,0.00115465,1,0.000388265,4096,16520,piece_14_layer4_0,0
n04311004/n04311004_3501.JPEG,transient-SEFI-blk,weights,1,821,steel arch bridge,821,steel arch bridge,0.955216,821,steel arch bridge,0.972385,718,pier,0.0228683,839,suspension bridge,0.00309489,1,-0.0171698,4096,16434,piece_14_layer4_0,0
n04311004/n04311004_3797.JPEG,transient-SEFI-blk,weights,1,821,steel arch bridge,698,palace,0.383085,538,dome,0.377468,698,palace,0.293972,442,"bell cote, bell cot",0.0397848,0,0.0056175,4096,16470,piece_16_layer4_2,0
n04311004/n04311004_6632.JPEG,transient-SEFI-blk,weights,1,821,steel arch bridge,821,steel arch bridge,0.761741,821,steel arch bridge,0.80305,718,pier,0.139549,839,suspension bridge,0.0513373,1,-0.0413089,4096,16591,piece_15_layer4_1,0
n04355933/n04355933_13231.JPEG,transient-SEFI-blk,weights,1,836,sunglass,585,hair spray,0.498627,585,hair spray,0.404979,836,sunglass,0.148983,447,"binoculars, field glasses, opera glasses",0.090363,0,0.0936476,4096,16481,piece_15_layer4_1,0
n04355933/n04355933_14508.JPEG,transient-SEFI-blk,weights,1,836,sunglass,836,sunglass,0.46295,837,"sunglasses, dark glasses, shades",0.526731,836,sunglass,0.410218,785,"seat belt, seatbelt",0.00751341,0,-0.0637812,4096,16351,piece_14_layer4_0,0
n04355933/n04355933_1754.JPEG,transient-SEFI-blk,weights,1,836,sunglass,836,sunglass,0.576255,836,sunglass,0.572215,837,"sunglasses, dark glasses, shades",0.270295,445,"bikini, two-piece",0.0284889,1,0.00403959,4096,16463,piece_16_layer4_2,0
n04355933/n04355933_2717.JPEG,transient-SEFI-blk,weights,1,836,sunglass,837,"sunglasses, dark glasses, shades",0.649142,837,"sunglasses, dark glasses, shades",0.596994,836,sunglass,0.362095,785,"seat belt, seatbelt",0.0180277,0,0.052148,4096,16350,piece_14_layer4_0,0
n04355933/n04355933_3450.JPEG,transient-SEFI-blk,weights,1,836,sunglass,655,"miniskirt, mini",0.383498,445,"bikini, two-piece",0.244708,655,"miniskirt, mini",0.244708,638,maillot,0.148423,0,0.13879,4096,16356,piece_08_layer3_0,0
n04370456/n04370456_3046.JPEG,transient-SEFI-blk,weights,1,841,sweatshirt,841,sweatshirt,0.36632,824,stole,0.340828,841,sweatshirt,0.265437,735,poncho,0.206722,0,0.0254925,4096,16373,piece_16_layer4_2,0
n04370456/n04370456_4380.JPEG,transient-SEFI-blk,weights,1,841,sweatshirt,617,"lab coat, laboratory coat",0.368944,601,"hoopskirt, crinoline",0.374687,617,"lab coat, laboratory coat",0.137839,689,overskirt,0.0651108,0,-0.00574285,4096,16396,piece_12_layer3_4,0
n04370456/n04370456_5698.JPEG,transient-SEFI-blk,weights,1,841,sweatshirt,841,sweatshirt,0.829291,841,sweatshirt,0.842327,610,"jersey, T-shirt, tee shirt",0.041937,678,neck brace,0.0254361,1,-0.0130363,4096,16445,piece_16_layer4_2,0
n04370456/n04370456_6227.JPEG,transient-SEFI-blk,weights,1,841,sweatshirt,841,sweatshirt,0.832353,841,sweatshirt,0.832353,610,"jersey, T-shirt, tee shirt",0.0532106,722,ping-pong ball,0.0414404,1,0,4096,16366,piece_17_head,0
n04370456/n04370456_942.JPEG,transient-SEFI-blk,weights,1,841,sweatshirt,841,sweatshirt,0.996806,841,sweatshirt,0.996744,610,"jersey, T-shirt, tee shirt",0.00149854,885,velvet,0.00033437,1,6.2108e-05,4096,16392,piece_16_layer4_2,0
n04557648/n04557648_1727.JPEG,transient-SEFI-blk,weights,1,898,water bottle,737,"pop bottle, soda bottle",0.153486,909,wok,0.213199,737,"pop bottle, soda bottle",0.100708,562,fountain,0.0610827,0,-0.0597138,4096,16512,piece_16_layer4_2,0
n04557648/n04557648_2063.JPEG,transient-SEFI-blk,weights,1,898,water bottle,84,peacock,0.16332,562,fountain,0.263183,84,peacock,0.159629,898,water bottle,0.124319,0,-0.0998633,4096,16397,piece_16_layer4_2,0
n04557648/n04557648_29432.JPEG,transient-SEFI-blk,weights,1,898,water bottle,896,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",0.589484,896,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",0.504327,435,"bathtub, bathing tub, bath, tub",0.0531557,711,"perfume, essence",0.0413977,0,0.0851563,4096,16522,piece_12_layer3_4,0
n04557648/n04557648_310.JPEG,transient-SEFI-blk,weights,1,898,water bottle,898,water bottle,0.454747,898,water bottle,0.405461,737,"pop bottle, soda bottle",0.245925,664,monitor,0.0332823,1,0.0492861,4096,16500,piece_15_layer4_1,0
n04557648/n04557648_8444.JPEG,transient-SEFI-blk,weights,1,898,water bottle,898,water bottle,0.365595,898,water bottle,0.354127,626,"lighter, light, igniter, ignitor",0.214789,585,hair spray,0.101459,1,0.0114684,4096,16508,piece_15_layer4_1,0
n09399592/n09399592_17820.JPEG,transient-SEFI-blk,weights,1,976,"promontory, headland, head, foreland",976,"promontory, headland, head, foreland",0.887973,976,"promontory, headland, head, foreland",0.80953,978,"seashore, coast, seacoast, sea-coast",0.140675,975,"lakeside, lakeshore",0.0148271,1,0.078443,4096,16602,piece_10_layer3_2,0
n09399592/n09399592_57381.JPEG,transient-SEFI-blk,weights,1,976,"promontory, headland, head, foreland",976,"promontory, headland, head, foreland",0.864176,61,"boa constrictor, Constrictor constrictor",0.329248,976,"promontory, headland, head, foreland",0.199699,972,"cliff, drop, drop-off",0.0445588,0,0.534929,4096,16304,piece_07_layer2_3,0
n09399592/n09399592_58193.JPEG,transient-SEFI-blk,weights,1,976,"promontory, headland, head, foreland",976,"promontory, headland, head, foreland",0.959479,976,"promontory, headland, head, foreland",0.948592,972,"cliff, drop, drop-off",0.028645,978,"seashore, coast, seacoast, sea-coast",0.0223087,1,0.010887,4096,16515,piece_14_layer4_0,0
