image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n02114855/n02114855_1044.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,771,"safe",0.999997,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.000003,49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.000000,0,-0.066921,0,0
"n02114855/n02114855_1047.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,910,"wooden spoon",0.851952,734,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",0.148047,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.000001,0,0.004432,0,0
"n02114855/n02114855_18848.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,252,"affenpinscher, monkey pinscher, monkey dog",0.781754,423,"barber chair",0.135849,882,"vacuum, vacuum cleaner",0.082396,0,0.049842,0,0
"n02114855/n02114855_7204.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,707,"pay-phone, pay-station",0.851938,950,"orange",0.148045,728,"plastic bag",0.000014,0,0.074795,0,0
"n02114855/n02114855_7265.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.818428,34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.999984,524,"cuirass",0.000010,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.000005,0,-0.181556,0,0
"n02134418/n02134418_11090.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,793,"shower cap",0.731055,444,"bicycle-built-for-two, tandem bicycle, tandem",0.268940,347,"bison",0.000004,0,0.214466,0,0
"n02134418/n02134418_2895.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.999508,486,"cello, violoncello",0.412316,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.321112,246,"Great Dane",0.194764,0,0.587192,0,0
"n02134418/n02134418_3846.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.268739,294,"brown bear, bruin, Ursus arctos",0.000666,0,0.000000,0,0
"n02134418/n02134418_4725.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.907159,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.882936,367,"chimpanzee, chimp, Pan troglodytes",0.034235,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.034235,1,0.024224,0,0
"n02134418/n02134418_5777.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.608753,988,"acorn",0.679178,746,"puck, hockey puck",0.320821,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.000001,0,-0.070425,0,0
"n02264363/n02264363_13680.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.562020,453,"bookcase",0.999998,149,"dugong, Dugong dugon",0.000002,318,"lacewing, lacewing fly",0.000000,0,-0.437977,0,0
"n02264363/n02264363_3092.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.984973,71,"scorpion",0.588595,534,"dishwasher, dish washer, dishwashing machine",0.278033,318,"lacewing, lacewing fly",0.131333,0,0.396378,0,0
"n02264363/n02264363_4632.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.974743,962,"meat loaf, meatloaf",0.999988,318,"lacewing, lacewing fly",0.000008,587,"hammer",0.000002,0,-0.025245,0,0
"n02264363/n02264363_5318.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999994,318,"lacewing, lacewing fly",0.589796,67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.278600,777,"scabbard",0.131601,1,0.410199,0,0
"n02264363/n02264363_9846.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999998,550,"espresso maker",0.811818,206,"curly-coated retriever",0.181141,318,"lacewing, lacewing fly",0.007024,0,0.188180,0,0
"n02699494/n02699494_12579.JPEG",406,"altar",406,"altar",0.955258,539,"doormat, welcome mat",0.832682,984,"rapeseed",0.087764,450,"bobsled, bobsleigh, bob",0.053232,0,0.122576,0,0
"n02699494/n02699494_18171.JPEG",406,"altar",406,"altar",0.998605,984,"rapeseed",0.895635,307,"weevil",0.094399,406,"altar",0.009950,0,0.102970,0,0
"n02699494/n02699494_2349.JPEG",406,"altar",406,"altar",0.957186,579,"grand piano, grand",0.967490,406,"altar",0.017720,907,"wine bottle",0.013801,0,-0.010304,0,0
"n02699494/n02699494_4661.JPEG",406,"altar",406,"altar",0.998281,196,"miniature schnauzer",0.999796,406,"altar",0.000203,497,"church, church building",0.000000,0,-0.001516,0,0
"n02699494/n02699494_4682.JPEG",406,"altar",406,"altar",0.910919,662,"modem",0.999970,406,"altar",0.000028,884,"vault",0.000002,0,-0.089050,0,0
"n02704792/n02704792_13304.JPEG",408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.998796,330,"wood rabbit, cottontail, cottontail rabbit",0.993204,408,"amphibian, amphibious vehicle",0.006692,243,"bull mastiff",0.000074,0,0.005592,0,0
"n02704792/n02704792_2135.JPEG",408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.985230,16,"bulbul",0.999995,408,"amphibian, amphibious vehicle",0.000005,975,"lakeside, lakeshore",0.000000,0,-0.014765,0,0
"n02704792/n02704792_28593.JPEG",408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.999893,408,"amphibian, amphibious vehicle",0.999609,296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.000158,428,"barrow, garden cart, lawn cart, wheelbarrow",0.000123,1,0.000284,0,0
"n02704792/n02704792_4565.JPEG",408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.999509,408,"amphibian, amphibious vehicle",0.999178,603,"horse cart, horse-cart",0.000261,751,"racer, race car, racing car",0.000158,1,0.000331,0,0
"n02704792/n02704792_7641.JPEG",408,"amphibian, amphibious vehicle",586,"half track",0.738355,538,"dome",0.809485,586,"half track",0.140667,847,"tank, army tank, armored combat vehicle, armoured combat vehicle",0.024444,0,-0.071131,0,0
"n02794156/n02794156_202.JPEG",426,"barometer",426,"barometer",0.654001,867,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",0.999999,981,"ballplayer, baseball player",0.000001,426,"barometer",0.000000,0,-0.345998,0,0
"n02794156/n02794156_3679.JPEG",426,"barometer",485,"CD player",0.267044,961,"dough",0.698418,94,"hummingbird",0.256934,858,"tile roof",0.044648,0,-0.431374,0,0
"n02794156/n02794156_4688.JPEG",426,"barometer",426,"barometer",0.999539,426,"barometer",0.999538,409,"analog clock",0.000335,798,"slide rule, slipstick",0.000096,1,0.000001,0,0
"n02794156/n02794156_6604.JPEG",426,"barometer",635,"magnetic compass",0.988816,200,"Tibetan terrier, chrysanthemum dog",0.999979,635,"magnetic compass",0.000013,493,"chiffonier, commode",0.000008,0,-0.011162,0,0
"n02794156/n02794156_7565.JPEG",426,"barometer",892,"wall clock",0.506343,789,"shoji",0.999755,892,"wall clock",0.000123,426,"barometer",0.000045,0,-0.493411,0,0
"n03124043/n03124043_5402.JPEG",514,"cowboy boot",514,"cowboy boot",0.999997,514,"cowboy boot",0.999997,597,"holster",0.000002,903,"wig",0.000000,1,0.000000,0,0
"n03124043/n03124043_5856.JPEG",514,"cowboy boot",514,"cowboy boot",0.975995,721,"pillow",0.959313,514,"cowboy boot",0.022561,504,"coffee mug",0.017570,0,0.016681,0,0
"n03124043/n03124043_6328.JPEG",514,"cowboy boot",502,"clog, geta, patten, sabot",0.501363,686,"oil filter",0.924142,916,"web site, website, internet site, site",0.075858,390,"eel",0.000000,0,-0.422779,0,0
"n03124043/n03124043_7091.JPEG",514,"cowboy boot",514,"cowboy boot",0.999908,514,"cowboy boot",0.999590,62,"rock python, rock snake, Python sebae",0.000261,61,"boa constrictor, Constrictor constrictor",0.000035,1,0.000318,0,0
"n03124043/n03124043_7889.JPEG",514,"cowboy boot",630,"Loafer",0.958231,404,"airliner",0.622445,116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",0.377532,515,"cowboy hat, ten-gallon hat",0.000022,0,0.335786,0,0
"n03637318/n03637318_1066.JPEG",619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.903326,162,"beagle",0.505933,444,"bicycle-built-for-two, tandem bicycle, tandem",0.306864,121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",0.186122,0,0.397393,0,0
"n03637318/n03637318_14251.JPEG",619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.926911,10,"brambling, Fringilla montifringilla",0.468311,392,"rock beauty, Holocanthus tricolor",0.468311,24,"great grey owl, great gray owl, Strix nebulosa",0.063379,0,0.458600,0,0
"n03637318/n03637318_16044.JPEG",619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.904649,873,"triumphal arch",0.609583,981,"ballplayer, baseball player",0.369731,619,"lampshade, lamp shade",0.018408,0,0.295065,0,0
"n03637318/n03637318_6645.JPEG",619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.662967,515,"cowboy hat, ten-gallon hat",0.988559,423,"barber chair",0.006661,619,"lampshade, lamp shade",0.003146,0,-0.325592,0,0
"n03637318/n03637318_9369.JPEG",619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.913729,938,"cauliflower",0.803737,619,"lampshade, lamp shade",0.179338,818,"spotlight, spot",0.006954,0,0.109992,0,0
"n03874293/n03874293_11031.JPEG",694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.999999,694,"paddlewheel, paddle wheel",0.999993,628,"liner, ocean liner",0.000006,425,"barn",0.000000,1,0.000006,0,0
"n03874293/n03874293_14179.JPEG",694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.999978,694,"paddlewheel, paddle wheel",0.999976,595,"harvester, reaper",0.000013,856,"thresher, thrasher, threshing machine",0.000006,1,0.000002,0,0
"n03874293/n03874293_152.JPEG",694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.999992,579,"grand piano, grand",0.880701,484,"catamaran",0.119190,694,"paddlewheel, paddle wheel",0.000109,0,0.119291,0,0
"n03874293/n03874293_22199.JPEG",694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.999289,786,"sewing machine",0.615438,938,"cauliflower",0.373282,554,"fireboat",0.011272,0,0.383852,0,0
"n03874293/n03874293_4256.JPEG",694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",1.000000,694,"paddlewheel, paddle wheel",0.679178,154,"Pekinese, Pekingese, Peke",0.320821,886,"vending machine",0.000001,1,0.320822,0,0
"n03933933/n03933933_21453.JPEG",718,"pier",718,"pier",0.997604,349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.999904,718,"pier",0.000096,839,"suspension bridge",0.000000,0,-0.002300,0,0
"n03933933/n03933933_24591.JPEG",718,"pier",536,"dock, dockage, docking facility",0.584435,378,"capuchin, ringtail, Cebus capucinus",0.999997,536,"dock, dockage, docking facility",0.000001,718,"pier",0.000001,0,-0.415562,0,0
"n03933933/n03933933_31954.JPEG",718,"pier",718,"pier",0.561927,34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.999936,718,"pier",0.000035,839,"suspension bridge",0.000028,0,-0.438009,0,0
"n03933933/n03933933_4981.JPEG",718,"pier",718,"pier",0.664261,309,"bee",0.999918,153,"Maltese dog, Maltese terrier, Maltese",0.000075,718,"pier",0.000005,0,-0.335657,0,0
"n03933933/n03933933_90.JPEG",718,"pier",718,"pier",0.934564,198,"standard schnauzer",0.999998,718,"pier",0.000001,347,"bison",0.000000,0,-0.065435,0,0
"n04311004/n04311004_1647.JPEG",821,"steel arch bridge",821,"steel arch bridge",0.992740,607,"jack-o'-lantern",0.996753,821,"steel arch bridge",0.003172,912,"worm fence, snake fence, snake-rail fence, Virginia fence",0.000045,0,-0.004013,0,0
"n04311004/n04311004_2766.JPEG",821,"steel arch bridge",821,"steel arch bridge",0.781556,956,"custard apple",0.679178,120,"fiddler crab",0.320821,512,"corkscrew, bottle screw",0.000000,0,0.102378,0,0
"n04311004/n04311004_3501.JPEG",821,"steel arch bridge",821,"steel arch bridge",0.999000,711,"perfume, essence",0.994747,821,"steel arch bridge",0.005220,435,"bathtub, bathing tub, bath, tub",0.000027,0,0.004253,0,0
"n04311004/n04311004_3797.JPEG",821,"steel arch bridge",668,"mosque",0.498529,418,"ballpoint, ballpoint pen, ballpen, Biro",0.999999,668,"mosque",0.000000,538,"dome",0.000000,0,-0.501470,0,0
"n04311004/n04311004_6632.JPEG",821,"steel arch bridge",821,"steel arch bridge",0.939190,821,"steel arch bridge",0.798221,316,"cicada, cicala",0.138710,718,"pier",0.051029,1,0.140969,0,0
"n04355933/n04355933_13231.JPEG",836,"sunglass",585,"hair spray",0.975834,585,"hair spray",0.967677,851,"television, television system",0.008372,589,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.006520,0,0.008157,0,0
"n04355933/n04355933_14508.JPEG",836,"sunglass",837,"sunglasses, dark glasses, shades",0.456516,610,"jersey, T-shirt, tee shirt",0.999777,837,"sunglasses, dark glasses, shades",0.000096,836,"sunglass",0.000096,0,-0.543261,0,0
"n04355933/n04355933_1754.JPEG",836,"sunglass",837,"sunglasses, dark glasses, shades",0.542529,810,"space bar",1.000000,734,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",0.000000,462,"broom",0.000000,0,-0.457470,0,0
"n04355933/n04355933_2717.JPEG",836,"sunglass",837,"sunglasses, dark glasses, shades",0.465078,853,"thatch, thatched roof",0.999972,626,"lighter, light, igniter, ignitor",0.000028,837,"sunglasses, dark glasses, shades",0.000000,0,-0.534894,0,0
"n04355933/n04355933_3450.JPEG",836,"sunglass",836,"sunglass",0.327517,377,"marmoset",0.999998,687,"organ, pipe organ",0.000002,836,"sunglass",0.000000,0,-0.672481,0,0
"n04370456/n04370456_3046.JPEG",841,"sweatshirt",841,"sweatshirt",0.488503,313,"walking stick, walkingstick, stick insect",0.731053,967,"espresso",0.268939,465,"bulletproof vest",0.000007,0,-0.242550,0,0
"n04370456/n04370456_4380.JPEG",841,"sweatshirt",750,"quilt, comforter, comfort, puff",0.258029,946,"cardoon",0.986217,799,"sliding door",0.008532,651,"microwave, microwave oven",0.005175,0,-0.728189,0,0
"n04370456/n04370456_5698.JPEG",841,"sweatshirt",841,"sweatshirt",0.970347,398,"abacus",0.622459,403,"aircraft carrier, carrier, flattop, attack aircraft carrier",0.377541,841,"sweatshirt",0.000000,0,0.347888,0,0
"n04370456/n04370456_6227.JPEG",841,"sweatshirt",841,"sweatshirt",0.783750,687,"organ, pipe organ",0.999876,55,"green snake, grass snake",0.000123,841,"sweatshirt",0.000001,0,-0.216126,0,0
"n04370456/n04370456_942.JPEG",841,"sweatshirt",841,"sweatshirt",0.967017,402,"acoustic guitar",0.900977,841,"sweatshirt",0.094962,610,"jersey, T-shirt, tee shirt",0.001055,0,0.066040,0,0
"n04557648/n04557648_1727.JPEG",898,"water bottle",509,"confectionery, confectionary, candy store",0.201326,642,"marimba, xylophone",0.904651,555,"fire engine, fire truck",0.095349,316,"cicada, cicala",0.000000,0,-0.703325,0,0
"n04557648/n04557648_2063.JPEG",898,"water bottle",708,"pedestal, plinth, footstall",0.137753,611,"jigsaw puzzle",0.382756,708,"pedestal, plinth, footstall",0.085404,560,"football helmet",0.085404,0,-0.245003,0,0
"n04557648/n04557648_29432.JPEG",898,"water bottle",435,"bathtub, bathing tub, bath, tub",0.687544,470,"candle, taper, wax light",0.835465,435,"bathtub, bathing tub, bath, tub",0.113068,896,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",0.041595,0,-0.147921,0,0
"n04557648/n04557648_310.JPEG",898,"water bottle",664,"monitor",0.505971,606,"iron, smoothing iron",0.952425,172,"whippet",0.047418,664,"monitor",0.000071,0,-0.446454,0,0
"n04557648/n04557648_8444.JPEG",898,"water bottle",898,"water bottle",0.417932,420,"banjo",0.966982,898,"water bottle",0.013793,626,"lighter, light, igniter, ignitor",0.006515,0,-0.549050,0,0
"n09399592/n09399592_17820.JPEG",976,"promontory, headland, head, foreland",976,"promontory, headland, head, foreland",0.972934,106,"wombat",0.999974,976,"promontory, headland, head, foreland",0.000021,590,"hand-held computer, hand-held microcomputer",0.000004,0,-0.027039,0,0
"n09399592/n09399592_57381.JPEG",976,"promontory, headland, head, foreland",976,"promontory, headland, head, foreland",0.712268,106,"wombat",0.659417,976,"promontory, headland, head, foreland",0.242586,972,"cliff, drop, drop-off",0.089242,0,0.052851,0,0
"n09399592/n09399592_58193.JPEG",976,"promontory, headland, head, foreland",976,"promontory, headland, head, foreland",0.934759,976,"promontory, headland, head, foreland",0.922435,972,"cliff, drop, drop-off",0.058969,104,"wallaby, brush kangaroo",0.010247,1,0.012324,0,0
"n09399592/n09399592_74394.JPEG",976,"promontory, headland, head, foreland",976,"promontory, headland, head, foreland",0.560423,638,"maillot",0.679155,589,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.320810,976,"promontory, headland, head, foreland",0.000019,0,-0.118733,0,0
"n09399592/n09399592_87777.JPEG",976,"promontory, headland, head, foreland",976,"promontory, headland, head, foreland",0.644056,767,"rubber eraser, rubber, pencil eraser",0.999989,190,"Sealyham terrier, Sealyham",0.000006,155,"Shih-Tzu",0.000005,0,-0.355933,0,0
"n12985857/n12985857_10703.JPEG",991,"coral fungus",991,"coral fungus",0.986605,340,"zebra",0.999994,991,"coral fungus",0.000006,994,"stinkhorn, carrion fungus",0.000000,0,-0.013389,0,0
"n12985857/n12985857_1312.JPEG",991,"coral fungus",991,"coral fungus",0.999250,808,"sombrero",0.999929,991,"coral fungus",0.000058,300,"tiger beetle",0.000013,0,-0.000679,0,0
"n12985857/n12985857_6677.JPEG",991,"coral fungus",991,"coral fungus",0.996692,991,"coral fungus",0.996592,996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.001498,115,"sea slug, nudibranch",0.000551,1,0.000100,0,0
"n12985857/n12985857_7042.JPEG",991,"coral fungus",991,"coral fungus",0.999225,991,"coral fungus",0.999223,994,"stinkhorn, carrion fungus",0.000553,114,"slug",0.000045,1,0.000002,0,0
"n12985857/n12985857_7767.JPEG",991,"coral fungus",991,"coral fungus",0.998919,824,"stole",0.999995,94,"hummingbird",0.000004,991,"coral fungus",0.000001,0,-0.001076,0,0
